RA 	    DEC	    SZ	    SZerr    DELV_gal   DELVerr	  b_sort     b_Mpc    g_mag     r_mag
151.42813   1.42679 0.42151 0.00009  626.9706   19.4382    9.3448    3.1264   21.9186   20.4219
151.44160   1.34822 0.41431 0.00009 -894.5426   18.7789   14.1259    4.7260   21.5516   19.6721
