RA 	    DEC	    SZ	    SZerr    DELV_gal   DELVerr	  b_sort     b_Mpc    g_mag     r_mag
209.36366   4.60093 0.32963 0.00008  221.5855   17.8203    0.4418    0.1268   20.8321   19.0451
209.50900   4.56705 0.32500 0.00012 -824.7714   26.1907    9.0966    2.6100   21.0161   19.3293
209.84776   4.36760 0.32873 0.00005   17.1968   11.7815   32.2329    9.2483   20.2698   18.6541
